Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
23002;;OUI;;47;2;0;2;OUI;OUI;2026-09-26T01:58:33+02:00;;;;
13102;;OUI;;33;17;17;0;OUI;OUI;2026-09-26T01:56:34+02:00;;;;
10204;;OUI;;29;4;1;3;OUI;OUI;2026-09-26T01:56:53+02:00;;;;
11101;;OUI;;16;32;31;1;OUI;OUI;2026-09-26T01:58:04+02:00;;;;
15055;;OUI;;8;45;39;6;OUI;OUI;2026-09-26T01:59:28+02:00;;;;
10015;;OUI;;41;4;2;2;OUI;OUI;2026-09-26T01:58:43+02:00;;;;
12011;;OUI;;9;25;25;0;OUI;OUI;2026-09-26T01:58:08+02:00;;;;
12032;;OUI;;14;20;20;0;OUI;OUI;2026-09-26T01:57:49+02:00;;;;
19037;;OUI;;30;2;0;2;OUI;OUI;2026-09-26T01:57:34+02:00;;;;
15038;;OUI;;46;17;14;3;OUI;OUI;2026-09-26T01:58:46+02:00;;;;
21105;;OUI;;0;24;20;4;OUI;OUI;2026-09-26T01:59:35+02:00;;;;
6018;;OUI;;17;1;0;1;OUI;OUI;2026-09-26T01:58:54+02:00;;;;
19109;;OUI;;18;1;0;1;OUI;OUI;2026-09-26T01:54:59+02:00;;;;
32014;;OUI;;28;2;0;2;OUI;OUI;2026-09-26T01:57:05+02:00;;;;
31016;;OUI;;33;3;1;2;OUI;OUI;2026-09-26T01:57:27+02:00;;;;
22101;;OUI;;13;18;17;1;OUI;OUI;2026-09-26T01:58:01+02:00;;;;
16032;;OUI;;8;12;9;3;OUI;OUI;2026-09-26T01:56:44+02:00;;;;
9023;;OUI;;33;0;0;0;OUI;OUI;2026-09-26T01:57:51+02:00;;;;
16123;;OUI;;13;11;10;1;OUI;OUI;2026-09-26T01:59:27+02:00;;;;
31007;;OUI;;41;7;2;5;OUI;OUI;2026-09-26T01:58:53+02:00;;;;
15108;;OUI;;0;35;30;5;OUI;OUI;2026-09-26T01:59:31+02:00;;;;
17047;;OUI;;6;20;9;11;OUI;OUI;2026-09-26T01:57:30+02:00;;;;
18109;;OUI;;10;36;11;25;OUI;OUI;2026-09-26T01:58:06+02:00;;;;
19038;;OUI;;13;7;1;6;OUI;OUI;2026-09-26T01:55:23+02:00;;;;
21703;;OUI;;14;9;4;5;OUI;OUI;2026-09-26T01:59:21+02:00;;;;
35017;;OUI;;3;14;8;6;OUI;OUI;2026-09-26T01:59:11+02:00;;;;
20118;;OUI;;12;12;3;9;OUI;OUI;2026-09-26T01:58:27+02:00;;;;
17011;;OUI;;29;22;20;2;OUI;OUI;2026-09-26T01:59:19+02:00;;;;
9031;;OUI;;20;4;4;0;OUI;OUI;2026-09-26T01:52:35+02:00;;;;
14002;;OUI;;42;4;4;0;OUI;OUI;2026-09-26T01:58:46+02:00;;;;
15035;;OUI;;3;39;30;9;OUI;OUI;2026-09-26T01:59:23+02:00;;;;
18049;;OUI;;50;5;4;1;OUI;OUI;2026-09-26T01:58:30+02:00;;;;
10020;;OUI;;9;1;1;0;OUI;OUI;2026-09-26T01:56:46+02:00;;;;
34010;;OUI;;24;22;2;20;OUI;OUI;2026-09-26T01:58:28+02:00;;;;
92004;;OUI;;16;3;0;3;OUI;OUI;2026-09-26T01:49:41+02:00;;;;
31703;;OUI;;18;8;0;8;OUI;OUI;2026-09-26T01:57:19+02:00;;;;
31025;;OUI;;25;10;0;10;OUI;OUI;2026-09-26T01:58:43+02:00;;;;
15031;;OUI;;17;34;33;1;OUI;OUI;2026-09-26T01:59:18+02:00;;;;
17040;;OUI;;48;0;0;0;NON;NON;2026-09-26T01:57:12+02:00;;;;
11006;;OUI;;22;14;11;3;OUI;OUI;2026-09-26T01:58:48+02:00;;;;
19127;;OUI;;11;8;1;7;OUI;OUI;2026-09-26T01:57:50+02:00;;;;
47004;;OUI;;10;10;6;4;OUI;OUI;2026-09-26T01:58:46+02:00;;;;
21001;;OUI;;2;25;10;15;OUI;OUI;2026-09-26T01:56:23+02:00;;;;
18033;;OUI;;19;12;9;3;OUI;OUI;2026-09-26T01:58:45+02:00;;;;
11010;;OUI;;30;12;10;2;OUI;OUI;2026-09-26T01:58:57+02:00;;;;
15002;;OUI;;9;8;5;3;OUI;OUI;2026-09-26T01:58:34+02:00;;;;
21310;;OUI;;0;24;21;3;OUI;OUI;2026-09-26T01:59:24+02:00;;;;
32015;;OUI;;9;27;6;21;OUI;OUI;2026-09-26T01:58:29+02:00;;;;
16027;;OUI;;46;15;9;6;OUI;OUI;2026-09-26T01:58:26+02:00;;;;
16029;;OUI;;7;38;35;3;OUI;OUI;2026-09-26T01:58:10+02:00;;;;
